"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20132","Withlacoochee Citrus 7","B678","1/30/2007 10:30:00 AM","01/30/2007","10:30","Chlorophyll a (Total)","","1.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","2/22/2007 11:15:00 AM","02/22/2007","11:15","Chlorophyll a (Total)","","1.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","3/29/2007 12:21:00 PM","03/29/2007","12:21","Chlorophyll a (Total)","","1.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","4/26/2007 11:39:00 AM","04/26/2007","11:39","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","5/22/2007 10:50:00 AM","05/22/2007","10:50","Chlorophyll a (Total)","","2.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","6/27/2007 10:18:00 AM","06/27/2007","10:18","Chlorophyll a (Total)","","7.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","7/17/2007 10:35:00 AM","07/17/2007","10:35","Chlorophyll a (Total)","","7","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","8/8/2007 10:34:00 AM","08/08/2007","10:34","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","9/18/2007 11:15:00 AM","09/18/2007","11:15","Chlorophyll a (Total)","","8.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","B678","10/25/2007 10:57:00 AM","10/25/2007","10:57","Chlorophyll a (Total)","","9.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
