"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20132","Withlacoochee Citrus 7","P529","2/3/2015 12:35:00 PM","02/03/2015","12:35","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","2/9/2015 3:25:00 PM","2/9/2015 3:25:00 PM","","","200806991","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","4/16/2015 10:50:00 AM","04/16/2015","10:50","Nitrate-Nitrite (N) (Total)","Total","0.0060","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","5/4/2015 4:33:00 PM","5/4/2015 4:33:00 PM","","","200821079","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","7/13/2015 1:30:00 PM","07/13/2015","13:30","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","8/10/2015 1:53:00 PM","8/10/2015 1:53:00 PM","","","200836445","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","10/8/2015 12:30:30 PM","10/08/2015","12:30","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","10/30/2015 5:13:00 PM","10/30/2015 5:13:00 PM","","","200854205","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","1/7/2016 12:25:00 PM","01/07/2016","12:25","Nitrate-Nitrite (N) (Total)","Total","0.0140","mg/L","","I","EPA 353.2 (28 day hold time)","1/28/2016 8:34:00 AM","1/28/2016 8:34:00 AM","","","200869407","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","4/11/2016 12:00:00 PM","04/11/2016","12:00","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","4/26/2016 2:43:00 PM","4/26/2016 2:43:00 PM","","","200884708","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","7/6/2016 12:10:27 PM","07/06/2016","12:10","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","7/11/2016 4:35:00 PM","7/11/2016 4:35:00 PM","","","200901307","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","10/25/2016 12:15:00 PM","10/25/2016","12:15","Nitrate-Nitrite (N) (Total)","Total","0.0090","mg/L","","I","EPA 353.2 (28 day hold time)","11/4/2016 10:55:00 AM","11/4/2016 10:55:00 AM","","","200915800","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","1/31/2017 12:15:00 PM","01/31/2017","12:15","Nitrate-Nitrite (N) (Total)","Total","0.0060","mg/L","","I","EPA 353.2 (28 day hold time)","2/6/2017 3:48:00 PM","2/6/2017 3:48:00 PM","","","200933982","Southwest Florida Water Management District","0","0",""
"20132","Withlacoochee Citrus 7","P529","4/26/2017 10:25:00 AM","04/26/2017","10:25","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/8/2017 12:23:00 PM","5/8/2017 12:23:00 PM","","","200952772","Southwest Florida Water Management District","0","0",""
