"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20400","Anclote Pasco 1","B679","1/16/2007 4:12:00 PM","01/16/2007","16:12","Chlorophyll a (Total)","","4.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","1/16/2007 4:12:00 PM","01/16/2007","16:12","Chlorophyll a (Total)","","4.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","2/15/2007 3:24:00 PM","02/15/2007","15:24","Chlorophyll a (Total)","","3.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","2/15/2007 3:24:00 PM","02/15/2007","15:24","Chlorophyll a (Total)","","3.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","3/13/2007 3:00:00 PM","03/13/2007","15:00","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","3/13/2007 3:00:00 PM","03/13/2007","15:00","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","4/19/2007 2:20:00 PM","04/19/2007","14:20","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","4/19/2007 2:20:00 PM","04/19/2007","14:20","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","5/21/2007 3:15:00 PM","05/21/2007","15:15","Chlorophyll a (Total)","","1.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","5/21/2007 3:15:00 PM","05/21/2007","15:15","Chlorophyll a (Total)","","1.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","6/14/2007 3:15:00 PM","06/14/2007","15:15","Chlorophyll a (Total)","","2.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","6/14/2007 3:15:00 PM","06/14/2007","15:15","Chlorophyll a (Total)","","2.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","7/23/2007 1:43:00 PM","07/23/2007","13:43","Chlorophyll a (Total)","","5.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","7/23/2007 1:43:00 PM","07/23/2007","13:43","Chlorophyll a (Total)","","5.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","8/23/2007 2:10:00 PM","08/23/2007","14:10","Chlorophyll a (Total)","","1.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","9/13/2007 2:08:00 PM","09/13/2007","14:08","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","10/23/2007 2:57:00 PM","10/23/2007","14:57","Chlorophyll a (Total)","","2.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","11/7/2007 2:23:00 PM","11/07/2007","14:23","Chlorophyll a (Total)","","3.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","12/11/2007 4:07:00 PM","12/11/2007","16:07","Chlorophyll a (Total)","","1.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","1/8/2008 2:45:00 PM","01/08/2008","14:45","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","2/20/2008 2:50:00 PM","02/20/2008","14:50","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","3/12/2008 2:13:00 PM","03/12/2008","14:13","Chlorophyll a (Total)","","4","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","4/2/2008 5:03:00 PM","04/02/2008","17:03","Chlorophyll a (Total)","","4","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","5/19/2008 2:06:00 PM","05/19/2008","14:06","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","6/11/2008 3:43:00 PM","06/11/2008","15:43","Chlorophyll a (Total)","","4","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","7/23/2008 2:07:00 PM","07/23/2008","14:07","Chlorophyll a (Total)","","6","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","8/25/2008 1:47:00 PM","08/25/2008","13:47","Chlorophyll a (Total)","","5","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","9/8/2008 2:00:00 PM","09/08/2008","14:00","Chlorophyll a (Total)","","8","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","10/29/2008 1:49:00 PM","10/29/2008","13:49","Chlorophyll a (Total)","","4","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","11/19/2008 2:00:00 PM","11/19/2008","14:00","Chlorophyll a (Total)","","5","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","12/4/2008 1:19:00 PM","12/04/2008","13:19","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","1/27/2009 1:55:00 PM","01/27/2009","13:55","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","2/24/2009 3:00:00 PM","02/24/2009","15:00","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","3/17/2009 1:41:00 PM","03/17/2009","13:41","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","4/15/2009 1:21:00 PM","04/15/2009","13:21","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","5/5/2009 1:44:00 PM","05/05/2009","13:44","Chlorophyll a (Total)","","4","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","6/16/2009 1:39:00 PM","06/16/2009","13:39","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","7/20/2009 1:30:00 PM","07/20/2009","13:30","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","8/4/2009 12:50:00 PM","08/04/2009","12:50","Chlorophyll a (Total)","","4","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","9/15/2009 1:01:00 PM","09/15/2009","13:01","Chlorophyll a (Total)","","4","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","10/12/2009 1:13:00 PM","10/12/2009","13:13","Chlorophyll a (Total)","","5","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","11/23/2009 1:23:00 PM","11/23/2009","13:23","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","B679","12/8/2009 1:30:00 PM","12/08/2009","13:30","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","8/9/2017 11:00:00 AM","08/09/2017","11:00","Chlorophyll a (Total)","Total","4.84","ug/L"," N1","Q","SM 10200 H","9/5/2017 2:52:00 PM","9/5/2017 2:52:00 PM","0.50","m","200968949","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","10/23/2017 2:15:00 PM","10/23/2017","14:15","Chlorophyll a (Total)","Total","6.18","ug/L"," N1","","SM 10200 H","11/8/2017 11:27:00 AM","11/8/2017 11:27:00 AM","0.50","m","200982443","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","1/8/2018 10:45:00 AM","01/08/2018","10:45","Chlorophyll a (Total)","Total","1.95","ug/L"," N1","I","SM 10200 H","1/29/2018 10:14:00 AM","1/29/2018 10:14:00 AM","0.50","m","200991277","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","4/30/2018 11:00:00 AM","04/30/2018","11:00","Chlorophyll a (Total)","Total","1.13","ug/L"," N1","I","SM 10200 H","5/24/2018 12:02:00 PM","5/24/2018 12:02:00 PM","0.50","m","201000259","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","7/9/2018 11:15:00 AM","07/09/2018","11:15","Chlorophyll a (Total)","Total","2.86","ug/L"," N1","I","SM 10200 H","8/2/2018 2:15:00 PM","8/2/2018 2:15:00 PM","0.50","m","201010066","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","10/15/2018 10:50:00 AM","10/15/2018","10:50","Chlorophyll a (Total)","Total","3.97","ug/L"," N1","I","SM 10200 H","10/24/2018 1:58:00 PM","10/24/2018 1:58:00 PM","0.50","m","201023706","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","1/10/2019 1:10:00 PM","01/10/2019","13:10","Chlorophyll a (Total)","Total","14.40","ug/L"," N1","","SM 10200 H","2/6/2019 11:42:00 AM","2/6/2019 11:42:00 AM","0.50","m","201033562","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","4/8/2019 10:45:00 AM","04/08/2019","10:45","Chlorophyll a (Total)","Total","2.43","ug/L"," N1","QI","SM 10200 H","5/10/2019 1:56:00 PM","5/10/2019 1:56:00 PM","0.30","m","201042704","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","8/1/2019 12:40:00 PM","08/01/2019","12:40","Chlorophyll a (Total)","Total","4.47","ug/L"," N1","","SM 10200 H","8/27/2019 11:39:00 AM","8/27/2019 11:39:00 AM","0.50","m","201053456","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","10/28/2019 10:20:00 AM","10/28/2019","10:20","Chlorophyll a (Total)","Total","3.45","ug/L"," N1","I","SM 10200 H","11/22/2019 12:17:00 PM","11/22/2019 12:17:00 PM","0.50","m","201063373","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","1/13/2020 1:45:00 PM","01/13/2020","13:45","Chlorophyll a (Total)","Total","3.20","ug/L"," N1","I","SM 10200 H","2/7/2020 11:27:00 AM","2/7/2020 11:27:00 AM","0.50","m","201072939","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
