"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20400","Anclote Pasco 1","P529","1/27/2015 1:20:22 PM","01/27/2015","13:20","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","2/9/2015 3:25:00 PM","2/9/2015 3:25:00 PM","","","200805063","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","4/16/2015 12:45:30 PM","04/16/2015","12:45","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","5/4/2015 4:33:00 PM","5/4/2015 4:33:00 PM","","","200821085","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","7/20/2015 1:00:27 PM","07/20/2015","13:00","Nitrate-Nitrite (N) (Total)","Total","0.0110","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","8/10/2015 1:53:00 PM","8/10/2015 1:53:00 PM","","","200838029","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","10/8/2015 2:00:27 PM","10/08/2015","14:00","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","10/19/2015 4:07:00 PM","10/19/2015 4:07:00 PM","","","200852481","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","1/7/2016 2:00:30 PM","01/07/2016","14:00","Nitrate-Nitrite (N) (Total)","Total","0.0050","mg/L","","I","EPA 353.2 (28 day hold time)","1/28/2016 8:34:00 AM","1/28/2016 8:34:00 AM","","","200869414","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","4/20/2016 10:50:08 AM","04/20/2016","10:50","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/2/2016 4:15:00 PM","5/2/2016 4:15:00 PM","","","200888661","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","7/14/2016 10:25:44 AM","07/14/2016","10:25","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","7/29/2016 3:21:00 PM","7/29/2016 3:21:00 PM","","","200903730","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","10/11/2016 10:30:27 AM","10/11/2016","10:30","Nitrate-Nitrite (N) (Total)","Total","0.0070","mg/L","","I","EPA 353.2 (28 day hold time)","11/1/2016 2:24:00 PM","11/1/2016 2:24:00 PM","","","200917385","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","1/31/2017 11:00:27 AM","01/31/2017","11:00","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","2/6/2017 3:48:00 PM","2/6/2017 3:48:00 PM","","","200933978","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","4/19/2017 10:45:22 AM","04/19/2017","10:45","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/8/2017 12:23:00 PM","5/8/2017 12:23:00 PM","","","200951323","Southwest Florida Water Management District","0","0",""
"20400","Anclote Pasco 1","P529","8/9/2017 11:00:00 AM","08/09/2017","11:00","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","I","EPA 353.2 (28 day hold time)","","8/30/2017 1:50:00 PM","0.50","m","200968949","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","10/23/2017 2:15:00 PM","10/23/2017","14:15","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","Q","EPA 353.2 (28 day hold time)","","2/26/2018 9:05:00 AM","0.50","m","200982443","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20400","Anclote Pasco 1","P529","1/8/2018 10:45:00 AM","01/08/2018","10:45","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","QU","EPA 353.2 (28 day hold time)","","2/26/2018 9:05:00 AM","0.50","m","200991277","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
