"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20404","Pithlachascotee Pasco 8","B679","1/16/2007 2:40:00 PM","01/16/2007","14:40","Chlorophyll a (Total)","","0.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","1/16/2007 2:40:00 PM","01/16/2007","14:40","Chlorophyll a (Total)","","0.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","2/15/2007 1:16:00 PM","02/15/2007","13:16","Chlorophyll a (Total)","","0.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","2/15/2007 1:16:00 PM","02/15/2007","13:16","Chlorophyll a (Total)","","0.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","3/13/2007 1:02:00 PM","03/13/2007","13:02","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","3/13/2007 1:02:00 PM","03/13/2007","13:02","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","4/19/2007 12:40:00 PM","04/19/2007","12:40","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","4/19/2007 12:40:00 PM","04/19/2007","12:40","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","5/21/2007 12:53:00 PM","05/21/2007","12:53","Chlorophyll a (Total)","","0.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","5/21/2007 12:53:00 PM","05/21/2007","12:53","Chlorophyll a (Total)","","0.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","6/14/2007 1:35:00 PM","06/14/2007","13:35","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","6/14/2007 1:35:00 PM","06/14/2007","13:35","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","7/23/2007 12:15:00 PM","07/23/2007","12:15","Chlorophyll a (Total)","","1.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","7/23/2007 12:15:00 PM","07/23/2007","12:15","Chlorophyll a (Total)","","1.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","8/23/2007 12:40:00 PM","08/23/2007","12:40","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","9/13/2007 12:34:00 PM","09/13/2007","12:34","Chlorophyll a (Total)","","0.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","10/23/2007 1:10:00 PM","10/23/2007","13:10","Chlorophyll a (Total)","","0.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","11/7/2007 12:54:00 PM","11/07/2007","12:54","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","12/11/2007 1:22:00 PM","12/11/2007","13:22","Chlorophyll a (Total)","","0.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","1/8/2008 1:08:00 PM","01/08/2008","13:08","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","2/20/2008 1:36:00 PM","02/20/2008","13:36","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","3/12/2008 12:43:00 PM","03/12/2008","12:43","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","4/2/2008 2:22:00 PM","04/02/2008","14:22","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","5/19/2008 1:00:00 PM","05/19/2008","13:00","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","6/11/2008 1:33:00 PM","06/11/2008","13:33","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","7/23/2008 4:00:00 PM","07/23/2008","16:00","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","8/25/2008 3:57:00 PM","08/25/2008","15:57","Chlorophyll a (Total)","","7","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","9/8/2008 3:57:00 PM","09/08/2008","15:57","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","10/20/2008 3:42:00 PM","10/20/2008","15:42","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","11/5/2008 3:35:00 PM","11/05/2008","15:35","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","12/4/2008 3:03:00 PM","12/04/2008","15:03","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","1/27/2009 3:49:00 PM","01/27/2009","15:49","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","2/24/2009 1:31:00 PM","02/24/2009","13:31","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","3/17/2009 4:55:00 PM","03/17/2009","16:55","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","4/15/2009 2:43:00 PM","04/15/2009","14:43","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","5/5/2009 3:30:00 PM","05/05/2009","15:30","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","6/16/2009 3:28:00 PM","06/16/2009","15:28","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","7/20/2009 3:22:00 PM","07/20/2009","15:22","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","8/4/2009 2:29:00 PM","08/04/2009","14:29","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","9/15/2009 2:16:00 PM","09/15/2009","14:16","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","10/12/2009 2:48:00 PM","10/12/2009","14:48","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","11/23/2009 2:59:00 PM","11/23/2009","14:59","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","B679","12/8/2009 2:55:00 PM","12/08/2009","14:55","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
