"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20404","Pithlachascotee Pasco 8","P529","1/28/2015 10:40:22 AM","01/28/2015","10:40","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","2/2/2015 2:53:00 PM","2/2/2015 2:53:00 PM","","","200799812","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","4/21/2015 11:45:30 AM","04/21/2015","11:45","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","5/4/2015 4:33:00 PM","5/4/2015 4:33:00 PM","","","200822256","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","7/21/2015 10:40:30 AM","07/21/2015","10:40","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","8/10/2015 1:53:00 PM","8/10/2015 1:53:00 PM","","","200838293","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","10/7/2015 11:20:22 AM","10/07/2015","11:20","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","10/19/2015 4:07:00 PM","10/19/2015 4:07:00 PM","","","200852473","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","1/5/2016 11:15:27 AM","01/05/2016","11:15","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","1/20/2016 9:21:00 AM","1/20/2016 9:21:00 AM","","","200868464","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","4/25/2016 11:00:03 AM","04/25/2016","11:00","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/2/2016 1:15:00 PM","5/2/2016 1:15:00 PM","","","200884754","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","7/12/2016 12:20:08 PM","07/12/2016","12:20","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","7/29/2016 3:21:00 PM","7/29/2016 3:21:00 PM","","","200902869","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","10/24/2016 11:10:27 AM","10/24/2016","11:10","Nitrate-Nitrite (N) (Total)","Total","0.0060","mg/L","","I","EPA 353.2 (28 day hold time)","11/8/2016 3:27:00 PM","11/8/2016 3:27:00 PM","","","200920447","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","1/25/2017 11:50:44 AM","01/25/2017","11:50","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","1/31/2017 4:34:00 PM","1/31/2017 4:34:00 PM","","","200933082","Southwest Florida Water Management District","0","0",""
"20404","Pithlachascotee Pasco 8","P529","4/18/2017 10:20:44 AM","04/18/2017","10:20","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/8/2017 12:23:00 PM","5/8/2017 12:23:00 PM","","","200951056","Southwest Florida Water Management District","0","0",""
