"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20499","Hudson Pasco 7","B679","1/17/2007 10:27:00 AM","01/17/2007","10:27","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","1/17/2007 10:27:00 AM","01/17/2007","10:27","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","2/20/2007 11:28:00 AM","02/20/2007","11:28","Chlorophyll a (Total)","","0.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","2/20/2007 11:28:00 AM","02/20/2007","11:28","Chlorophyll a (Total)","","0.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","3/20/2007 11:12:00 AM","03/20/2007","11:12","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","3/20/2007 11:12:00 AM","03/20/2007","11:12","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","4/20/2007 9:55:00 AM","04/20/2007","09:55","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","4/20/2007 9:55:00 AM","04/20/2007","09:55","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","5/22/2007 9:36:00 AM","05/22/2007","09:36","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","5/22/2007 9:36:00 AM","05/22/2007","09:36","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","6/15/2007 9:40:00 AM","06/15/2007","09:40","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","6/15/2007 9:40:00 AM","06/15/2007","09:40","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","7/24/2007 10:10:00 AM","07/24/2007","10:10","Chlorophyll a (Total)","","1.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","7/24/2007 10:10:00 AM","07/24/2007","10:10","Chlorophyll a (Total)","","1.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","8/24/2007 9:45:00 AM","08/24/2007","09:45","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","9/14/2007 9:29:00 AM","09/14/2007","09:29","Chlorophyll a (Total)","","2.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","10/31/2007 1:17:00 PM","10/31/2007","13:17","Chlorophyll a (Total)","","1.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","11/27/2007 10:57:00 AM","11/27/2007","10:57","Chlorophyll a (Total)","","1.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","12/12/2007 10:05:00 AM","12/12/2007","10:05","Chlorophyll a (Total)","","0.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","1/9/2008 11:16:00 AM","01/09/2008","11:16","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","2/21/2008 9:50:00 AM","02/21/2008","09:50","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","3/13/2008 10:30:00 AM","03/13/2008","10:30","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","4/3/2008 12:30:00 PM","04/03/2008","12:30","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","5/20/2008 1:28:00 PM","05/20/2008","13:28","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","6/12/2008 12:01:00 PM","06/12/2008","12:01","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20499","Hudson Pasco 7","B679","7/24/2008 1:35:00 PM","07/24/2008","13:35","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
