"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20500","Hudson Pasco 3","P529","1/28/2015 11:50:00 AM","01/28/2015","11:50","Nitrate-Nitrite (N) (Total)","Total","0.0050","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","2/9/2015 3:25:00 PM","2/9/2015 3:25:00 PM","","","200805487","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","4/22/2015 11:25:27 AM","04/22/2015","11:25","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","5/4/2015 4:33:00 PM","5/4/2015 4:33:00 PM","","","200822487","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","7/21/2015 12:30:00 PM","07/21/2015","12:30","Nitrate-Nitrite (N) (Total)","Total","0.0070","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","8/10/2015 1:53:00 PM","8/10/2015 1:53:00 PM","","","200838287","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","10/22/2015 12:25:03 PM","10/22/2015","12:25","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","10/30/2015 5:13:00 PM","10/30/2015 5:13:00 PM","","","200857046","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","1/12/2016 11:15:30 AM","01/12/2016","11:15","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","1/28/2016 8:34:00 AM","1/28/2016 8:34:00 AM","","","200870439","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","4/19/2016 11:55:08 AM","04/19/2016","11:55","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/2/2016 4:15:00 PM","5/2/2016 4:15:00 PM","","","200888374","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","7/13/2016 11:00:08 AM","07/13/2016","11:00","Nitrate-Nitrite (N) (Total)","Total","0.0054","mg/L","","I","EPA 353.2 (28 day hold time)","7/29/2016 3:21:00 PM","7/29/2016 3:21:00 PM","","","200903099","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","10/11/2016 1:05:03 PM","10/11/2016","13:05","Nitrate-Nitrite (N) (Total)","Total","0.0050","mg/L","","I","EPA 353.2 (28 day hold time)","11/4/2016 10:55:00 AM","11/4/2016 10:55:00 AM","","","200915837","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","1/24/2017 11:40:27 AM","01/24/2017","11:40","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","1/31/2017 4:34:00 PM","1/31/2017 4:34:00 PM","","","200932479","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","4/19/2017 12:10:08 PM","04/19/2017","12:10","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/8/2017 12:23:00 PM","5/8/2017 12:23:00 PM","","","200951322","Southwest Florida Water Management District","0","0",""
"20500","Hudson Pasco 3","P529","8/8/2017 10:30:00 AM","08/08/2017","10:30","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","QI","EPA 353.2 (28 day hold time)","","9/6/2017 4:13:00 PM","0.50","m","200968769","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
