"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20564","Weeki Wachee Hernando 7","B678","1/12/2007 10:02:00 AM","01/12/2007","10:02","Chlorophyll a (Total)","","0.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","2/21/2007 11:30:00 AM","02/21/2007","11:30","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","3/6/2007 12:40:00 PM","03/06/2007","12:40","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","4/5/2007 1:10:00 PM","04/05/2007","13:10","Chlorophyll a (Total)","","0.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","5/14/2007 10:35:00 AM","05/14/2007","10:35","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","6/13/2007 11:10:00 AM","06/13/2007","11:10","Chlorophyll a (Total)","","0.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","7/12/2007 11:14:00 AM","07/12/2007","11:14","Chlorophyll a (Total)","","0.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","8/6/2007 10:40:00 AM","08/06/2007","10:40","Chlorophyll a (Total)","","1.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","9/6/2007 10:27:00 AM","09/06/2007","10:27","Chlorophyll a (Total)","","1.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","10/8/2007 11:10:00 AM","10/08/2007","11:10","Chlorophyll a (Total)","","1.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","11/19/2007 1:17:00 PM","11/19/2007","13:17","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","12/10/2007 1:11:00 PM","12/10/2007","13:11","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","1/15/2008 11:30:00 AM","01/15/2008","11:30","Chlorophyll a (Total)","","1.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","2/9/2008 1:47:00 PM","02/09/2008","13:47","Chlorophyll a (Total)","","1.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","3/26/2008 11:23:00 AM","03/26/2008","11:23","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","4/11/2008 10:58:00 AM","04/11/2008","10:58","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","5/2/2008 10:39:00 AM","05/02/2008","10:39","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","B678","6/3/2008 11:07:00 AM","06/03/2008","11:07","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
