"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20564","Weeki Wachee Hernando 7","P529","1/28/2015 1:00:30 PM","01/28/2015","13:00","Nitrate-Nitrite (N) (Total)","Total","0.2470","mg/L","","","EPA 353.2 (Nitrate-Nitrite (N))","2/2/2015 2:53:00 PM","2/2/2015 2:53:00 PM","","","200799793","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","4/22/2015 12:45:30 PM","04/22/2015","12:45","Nitrate-Nitrite (N) (Total)","Total","0.0440","mg/L","","","EPA 353.2 (Nitrate-Nitrite (N))","5/1/2015 4:52:00 PM","5/1/2015 4:52:00 PM","","","200817333","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","7/29/2015 11:10:30 AM","07/29/2015","11:10","Nitrate-Nitrite (N) (Total)","Total","0.0150","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","8/14/2015 4:25:00 PM","8/14/2015 4:25:00 PM","","","200834270","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","11/5/2015 12:20:00 PM","11/05/2015","12:20","Nitrate-Nitrite (N) (Total)","Total","0.0130","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","11/10/2015 8:25:00 AM","11/10/2015 8:25:00 AM","","","200852451","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","1/6/2016 12:50:00 PM","01/06/2016","12:50","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","1/20/2016 9:21:00 AM","1/20/2016 9:21:00 AM","","","200868442","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","4/26/2016 11:45:00 AM","04/26/2016","11:45","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/2/2016 1:15:00 PM","5/2/2016 1:15:00 PM","","","200884732","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","7/21/2016 1:30:27 PM","07/21/2016","13:30","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","I","EPA 353.2 (28 day hold time)","7/25/2016 3:08:00 PM","7/25/2016 3:08:00 PM","","","200901331","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","10/25/2016 11:35:44 AM","10/25/2016","11:35","Nitrate-Nitrite (N) (Total)","Total","0.0190","mg/L","","","EPA 353.2 (28 day hold time)","11/4/2016 10:55:00 AM","11/4/2016 10:55:00 AM","","","200915824","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","1/18/2017 11:30:00 AM","01/18/2017","11:30","Nitrate-Nitrite (N) (Total)","Total","0.0280","mg/L","","","EPA 353.2 (28 day hold time)","1/31/2017 4:24:00 PM","1/31/2017 4:24:00 PM","","","200929083","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","4/25/2017 11:35:08 AM","04/25/2017","11:35","Nitrate-Nitrite (N) (Total)","Total","0.0170","mg/L","","","EPA 353.2 (28 day hold time)","5/1/2017 4:45:00 PM","5/1/2017 4:45:00 PM","","","200946232","Southwest Florida Water Management District","0","0",""
"20564","Weeki Wachee Hernando 7","P529","8/9/2017 10:20:00 AM","08/09/2017","10:20","Nitrate-Nitrite (N) (Total)","Total","0.0060","mg/L","","I","EPA 353.2 (28 day hold time)","","8/30/2017 1:50:00 PM","0.50","m","200967660","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","10/25/2017 11:30:00 AM","10/25/2017","11:30","Nitrate-Nitrite (N) (Total)","Total","0.1380","mg/L","","Q","EPA 353.2 (28 day hold time)","","12/22/2017 1:40:00 PM","0.34","m","200982362","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","1/11/2018 11:15:00 AM","01/11/2018","11:15","Nitrate-Nitrite (N) (Total)","Total","0.0490","mg/L","","Q","EPA 353.2 (28 day hold time)","","2/15/2018 4:59:00 PM","0.50","m","200991007","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","5/1/2018 11:30:00 AM","05/01/2018","11:30","Nitrate-Nitrite (N) (Total)","Total","0.0390","mg/L","","","EPA 353.2 (28 day hold time)","","5/15/2018 4:35:00 PM","0.50","m","201000019","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","7/25/2018 1:00:00 PM","07/25/2018","13:00","Nitrate-Nitrite (N) (Total)","Total","0.0080","mg/L","","I","EPA 353.2 (28 day hold time)","","8/6/2018 4:20:00 PM","0.50","m","201009826","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","10/31/2018 11:10:00 AM","10/31/2018","11:10","Nitrate-Nitrite (N) (Total)","Total","0.01","mg/L","","I","EPA 353.2 (28 day hold time)","","11/19/2018 4:24:00 PM","0.32","m","201023466","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","1/7/2019 1:00:00 PM","01/07/2019","13:00","Nitrate-Nitrite (N) (Total)","Total","0.1060","mg/L","","","EPA 353.2 (28 day hold time)","","1/23/2019 2:52:00 PM","0.50","m","201033322","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","4/17/2019 11:15:00 AM","04/17/2019","11:15","Nitrate-Nitrite (N) (Total)","Total","0.0160","mg/L","","","EPA 353.2 (28 day hold time)","","5/9/2019 11:03:00 AM","0.50","m","201042435","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
"20564","Weeki Wachee Hernando 7","P529","10/30/2019 11:15:00 AM","10/30/2019","11:15","Nitrate-Nitrite (N) (Total)","Total","0.0610","mg/L","","","EPA 353.2 (28 day hold time)","","11/12/2019 3:32:00 PM","0.30","m","201063133","SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT","0","0",""
