"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20941","Crystal Citrus 8","B678","1/30/2007 1:50:00 PM","01/30/2007","13:50","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","2/13/2007 9:50:00 AM","02/13/2007","09:50","Chlorophyll a (Total)","","0.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","3/20/2007 12:00:00 PM","03/20/2007","12:00","Chlorophyll a (Total)","","0.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","4/11/2007 10:15:00 AM","04/11/2007","10:15","Chlorophyll a (Total)","","0.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","5/15/2007 10:15:00 AM","05/15/2007","10:15","Chlorophyll a (Total)","","0.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","6/7/2007 11:43:00 AM","06/07/2007","11:43","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","7/18/2007 11:12:00 AM","07/18/2007","11:12","Chlorophyll a (Total)","","1.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","8/29/2007 10:55:00 AM","08/29/2007","10:55","Chlorophyll a (Total)","","1.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","9/27/2007 10:56:00 AM","09/27/2007","10:56","Chlorophyll a (Total)","","8.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","10/30/2007 11:30:00 AM","10/30/2007","11:30","Chlorophyll a (Total)","","2.50","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","11/19/2007 11:00:00 AM","11/19/2007","11:00","Chlorophyll a (Total)","","2.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","12/10/2007 11:35:00 AM","12/10/2007","11:35","Chlorophyll a (Total)","","1.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","1/7/2008 11:21:00 AM","01/07/2008","11:21","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","B678","2/15/2008 10:15:00 AM","02/15/2008","10:15","Chlorophyll a (Total)","","0.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
