"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"20941","Crystal Citrus 8","P529","2/4/2015 12:00:00 PM","02/04/2015","12:00","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","I","EPA 353.2 (Nitrate-Nitrite (N))","2/11/2015 2:37:00 PM","2/11/2015 2:37:00 PM","","","200799773","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","4/15/2015 11:30:00 AM","04/15/2015","11:30","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","4/21/2015 4:02:00 PM","4/21/2015 4:02:00 PM","","","200817313","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","7/14/2015 1:25:00 PM","07/14/2015","13:25","Nitrate-Nitrite (N) (Total)","Total","0.0210","mg/L","","","EPA 353.2 (Nitrate-Nitrite (N))","8/10/2015 1:53:00 PM","8/10/2015 1:53:00 PM","","","200836668","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","10/7/2015 11:25:00 AM","10/07/2015","11:25","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (Nitrate-Nitrite (N))","10/19/2015 4:07:00 PM","10/19/2015 4:07:00 PM","","","200852435","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","1/25/2016 3:00:00 PM","01/25/2016","15:00","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","1/28/2016 8:34:00 AM","1/28/2016 8:34:00 AM","","","200873334","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","4/20/2016 12:15:00 PM","04/20/2016","12:15","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","4/26/2016 2:43:00 PM","4/26/2016 2:43:00 PM","","","200884716","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","7/18/2016 12:45:00 PM","07/18/2016","12:45","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","7/29/2016 3:21:00 PM","7/29/2016 3:21:00 PM","","","200904379","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","10/12/2016 12:25:00 PM","10/12/2016","12:25","Nitrate-Nitrite (N) (Total)","Total","0.0050","mg/L","","I","EPA 353.2 (28 day hold time)","11/4/2016 10:55:00 AM","11/4/2016 10:55:00 AM","","","200915808","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","1/25/2017 11:45:00 AM","01/25/2017","11:45","Nitrate-Nitrite (N) (Total)","Total","0.0170","mg/L","","","EPA 353.2 (28 day hold time)","2/6/2017 2:48:00 PM","2/6/2017 2:48:00 PM","","","200929067","Southwest Florida Water Management District","0","0",""
"20941","Crystal Citrus 8","P529","4/24/2017 11:15:00 AM","04/24/2017","11:15","Nitrate-Nitrite (N) (Total)","Total","0.0040","mg/L","","U","EPA 353.2 (28 day hold time)","5/8/2017 12:23:00 PM","5/8/2017 12:23:00 PM","","","200951932","Southwest Florida Water Management District","0","0",""
