"Site ID","Site Name","Project","Collected Date/Time","Collected Date","Collected Time","Analyte","Total/Dissolved","Recorded Value","Units","Comments","Qualifier","Method","Prepared Date/Time","Analyzed Date/Time","Start Depth","Start Depth Units","Sample ID","Agency","Permit No PS","DID No PS",""
"21055","Homosassa Citrus 6","B678","1/29/2007 11:20:00 AM","01/29/2007","11:20","Chlorophyll a (Total)","","0.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","2/21/2007 10:15:00 AM","02/21/2007","10:15","Chlorophyll a (Total)","","0.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","3/28/2007 2:30:00 PM","03/28/2007","14:30","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","4/25/2007 12:14:00 PM","04/25/2007","12:14","Chlorophyll a (Total)","","0.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","5/16/2007 11:50:00 AM","05/16/2007","11:50","Chlorophyll a (Total)","","0.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","6/19/2007 10:40:00 AM","06/19/2007","10:40","Chlorophyll a (Total)","","0.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","7/31/2007 10:25:00 AM","07/31/2007","10:25","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","8/27/2007 11:21:00 AM","08/27/2007","11:21","Chlorophyll a (Total)","","0.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","9/25/2007 10:35:00 AM","09/25/2007","10:35","Chlorophyll a (Total)","","0.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","10/31/2007 10:30:00 AM","10/31/2007","10:30","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","11/27/2007 10:30:00 AM","11/27/2007","10:30","Chlorophyll a (Total)","","1.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","12/6/2007 11:29:00 AM","12/06/2007","11:29","Chlorophyll a (Total)","","0.40","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","1/28/2008 11:20:00 AM","01/28/2008","11:20","Chlorophyll a (Total)","","0.70","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","2/5/2008 11:00:00 AM","02/05/2008","11:00","Chlorophyll a (Total)","","0.90","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","3/12/2008 11:05:00 AM","03/12/2008","11:05","Chlorophyll a (Total)","","1.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","4/3/2008 11:00:00 AM","04/03/2008","11:00","Chlorophyll a (Total)","","0.80","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","5/15/2008 11:05:00 AM","05/15/2008","11:05","Chlorophyll a (Total)","","1.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","6/26/2008 10:15:00 AM","06/26/2008","10:15","Chlorophyll a (Total)","","2.10","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","7/23/2008 10:28:00 AM","07/23/2008","10:28","Chlorophyll a (Total)","","2","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","8/11/2008 11:08:00 AM","08/11/2008","11:08","Chlorophyll a (Total)","","1.20","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","9/22/2008 10:26:00 AM","09/22/2008","10:26","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","10/16/2008 10:30:00 AM","10/16/2008","10:30","Chlorophyll a (Total)","","3","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","11/24/2008 11:05:00 AM","11/24/2008","11:05","Chlorophyll a (Total)","","0.30","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","12/18/2008 10:52:00 AM","12/18/2008","10:52","Chlorophyll a (Total)","","0.60","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","1/28/2009 3:10:00 PM","01/28/2009","15:10","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","2/13/2009 11:52:00 AM","02/13/2009","11:52","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","3/9/2009 11:52:00 AM","03/09/2009","11:52","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","4/29/2009 10:51:00 AM","04/29/2009","10:51","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","5/14/2009 10:14:00 AM","05/14/2009","10:14","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","6/11/2009 10:48:00 AM","06/11/2009","10:48","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","7/27/2009 10:30:00 AM","07/27/2009","10:30","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","8/6/2009 11:13:00 AM","08/06/2009","11:13","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","9/24/2009 9:45:00 AM","09/24/2009","09:45","Chlorophyll a (Total)","","6","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","10/7/2009 10:37:00 AM","10/07/2009","10:37","Chlorophyll a (Total)","","1","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","11/17/2009 10:30:00 AM","11/17/2009","10:30","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
"21055","Homosassa Citrus 6","B678","12/30/2009 11:08:00 AM","12/30/2009","11:08","Chlorophyll a (Total)","","0","ug/L","","","SM 10200 H (mod.)","","","","","","Southwest Florida Water Management District","0","0",""
